"id","name","laboratory","theraputic_class","pharmaco_class","dci","commercial_name","dci_code","form","dosage","conditioning","type","list","country","marketed","reimbursable","reference_price","ppa_indicative","registration_num","notice_link","img_link"
4113,"SIMVASTAL 20MG COMP. PELLI. SEC. B/30","SOPHAL (SOCIETE PHARMACEUTIQUE ALGERIENNE)","CARDIOLOGIE ET ANGEIOLOGIE","HYPOLIPIDEMIANTS","SIMVASTATINE","SIMVASTAL","06M136","COMP. PELLI.","20MG","B/30","Générique","Liste I","ALGERIE",True,True,"1247.4","","039/ 06 M 136 /11","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4114,"SIMVASTATINE BIOCARE 20MG GLES.A µGRLES. B/28","BIOCARE LABORATOIRES","CARDIOLOGIE ET ANGEIOLOGIE","HYPOLIPIDEMIANTS","SIMVASTATINE","SIMVASTATINE BIOCARE","06M136","COMP. PELLI.","20MG","B/28","Générique","Liste I","ALGERIE",True,True,"1164.24","","293/ 06 M 136 /11","https://www.pharmnet-dz.com/notice.ashx?id=1543","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1543.png"
4115,"SIMVASTATINE LDM 20MG COMP. PELLI. SEC. B/30","LDM (LABORATOIRE DE DIAGNOSTIC MAGHREBINS)","CARDIOLOGIE ET ANGEIOLOGIE","HYPOLIPIDEMIANTS","SIMVASTATINE","SIMVASTATINE LDM","06M136","COMP. PELLI.","20MG","B/30","Générique","Liste I","ALGERIE",True,False,"1247","","309/ 06 M 136 /07/13","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4116,"SIMVASTATINE LDM 40MG COMP. PELLI. SEC. B/30","LDM (LABORATOIRE DE DIAGNOSTIC MAGHREBINS)","CARDIOLOGIE ET ANGEIOLOGIE","HYPOLIPIDEMIANTS","SIMVASTATINE","SIMVASTATINE LDM","06M203","COMP. PELLI.","40MG","B/30","Générique","Liste I","ALGERIE",True,False,"1980","","309/ 06 M 203 /07/13","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4117,"SIMVASTATINE WINTHROP 20MG COMP.PELL B/30","SAIDAL GROUPE","CARDIOLOGIE ET ANGEIOLOGIE","HYPOLIPIDEMIANTS","SIMVASTATINE","SIMVASTATINE WINTHROP","06M136","COMP. PELLI.","20MG","B/30","Générique","Liste I","ALGERIE",True,True,"1247.4","","428/ 06 M 136 /14","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4118,"SINECOD 0,15% 1,5MG/ML SIROP FL./200ML","NOVARTIS","PNEUMOLOGIE","ANTITUSSIFS NON OPIACES","BUTAMIRATE CITRATE","SINECOD 0,15%","20C233","SIROP","1,5MG/ML","FL./200ML","Princeps","N/D","SUISSE",True,True,"202","","068/ 20 C 233 /08","https://www.pharmnet-dz.com/notice.ashx?id=1301","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1301.png"
4119,"SINGASM 10MG COMP. PELLI. B/30","HIKMA PHARMACEUTICALS","PNEUMOLOGIE","BRONCHODILATATEURS & ANTI-ASTHMATIQUES","MONTELUKAST SODIQUE EXPRIME EN MONTELUKAST","SINGASM","20A211","COMP. PELLI.","10MG","B/30","Générique","Liste I","ALGERIE",True,True,"2310","","001/20A211/16","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4120,"SINGASM 4MG COMP. A CROQUER B/30","HIKMA PHARMACEUTICALS","PNEUMOLOGIE","BRONCHODILATATEURS & ANTI-ASTHMATIQUES","MONTELUKAST SODIQUE EXPRIME EN MONTELUKAST","SINGASM","20A225","COMP. A CROQ.","4MG","B/30","Générique","Liste I","ALGERIE",True,True,"2310","","001/20A225/16","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4121,"SINGASM 5MG COMP. A CROQUER B/30","HIKMA PHARMACEUTICALS","PNEUMOLOGIE","BRONCHODILATATEURS & ANTI-ASTHMATIQUES","MONTELUKAST SODIQUE EXPRIME EN MONTELUKAST","SINGASM","20A226","COMP. A CROQ.","5MG","B/30","Générique","Liste I","ALGERIE",True,True,"2310","","001/20A226/16","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4122,"SINGULAIR 10MG COMP. PELLI. B/28","MERCK SCHARP & DOHME LTD","PNEUMOLOGIE","BRONCHODILATATEURS & ANTI-ASTHMATIQUES","MONTELUKAST SODIQUE EXPRIME EN MONTELUKAST","SINGULAIR","20A211","COMP. PELLI.","10MG","B/28","Princeps","Liste I","PAYS BAS",True,True,"2240","","024/ 20 A 211 /06","https://www.pharmnet-dz.com/notice.ashx?id=2132","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2132.png"
