"id","name","laboratory","theraputic_class","pharmaco_class","dci","commercial_name","dci_code","form","dosage","conditioning","type","list","country","marketed","reimbursable","reference_price","ppa_indicative","registration_num","notice_link","img_link"
1192,"DEBRIDAT 100MG COMP.PELLI. B/20","PFIZER PHARM ALGERIE","GASTRO-ENTEROLOGIE","MEDICAMENTS DE LA MOTRICITE DIGESTIVE","TRIMEBUTINE MALEATE","DEBRIDAT","10F051","COMP. PELLI.","100MG","B/20","Princeps","Liste II","ALGERIE",True,True,"273","","045/ 10 F 051 /97/09","https://www.pharmnet-dz.com/notice.ashx?id=2888","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2888.png"
1193,"DEBRIDAT 200MG COMP. PELLI. B/30","PFIZER PHARM ALGERIE","GASTRO-ENTEROLOGIE","MEDICAMENTS DE LA MOTRICITE DIGESTIVE","TRIMEBUTINE MALEATE","DEBRIDAT","10F193","COMP. PELLI.","200MG","B/30","Princeps","Liste II","ALGERIE",True,True,"273","","045/ 10 F 193 /10","https://www.pharmnet-dz.com/notice.ashx?id=2910","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2910.png"
1194,"DECA-DURABOLIN 50MG/ML SOL INJ HUILEUSE IM B/1AMP DE 1ML","ORGANON","ENDOCRINOLOGIE ET HORMONES","ANABOLISANTS","NANDROLONE DECANOATE","DECA-DURABOLIN","09F082","SOL. INJ.","50MG/ML","B/1AMP DE 1ML","Princeps","Liste II","PAYS BAS",True,True,"0","","005/ 09 F 082 /03","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/621.png"
1195,"DECAPEPTYL L.P. 11,25MG/FL. DE PDRE. PDRE. ET SOLVT. P.SUSP. INJ. IM LP SUR 03MOIS B/01FL. DE PDRE + 01AMP. DE DE 2ML DE SOLVT. + SERINGUE + 02 AIGUILLES","IPSEN PHARMA","CANCEROLOGIE","A.T.U.(AUTORISATION TEMPORAIRE D'UTILISATION )","TRIPTORELINE PAMOATE EXPRIME EN TRIPTORELINE","DECAPEPTYL L.P.","05E140","PDRE. SOL. INJ.","11,25MG/FL. DE PDRE.","B/01FL. DE PDRE + 01AMP. DE DE 2ML DE SOLVT. + SERINGUE + 02 AIGUILLES","Princeps","Liste I","FRANCE",True,True,"0","","020/ 05 E 140 /06/15","https://www.pharmnet-dz.com/notice.ashx?id=1073","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1073.png"
1196,"DECAPEPTYL 0,1MG/ML PDRE.ET SOLV. POUR SOL.INJ. SC B/ 7FL. DE LYOPH. + 7AMP. SOLV. 01ML","IPSEN PHARMA","ENDOCRINOLOGIE ET HORMONES","HORMONES HYPOTHALAMIQUES & HYPOPHYSAIRES","TRIPTORELINE","DECAPEPTYL","09J052","PDRE. SOL. INJ.","0,1MG/ML","B/ 7FL. DE LYOPH. + 7AMP. SOLV. 01ML","Princeps","Liste I","FRANCE",True,True,"0","","020/ 09 J 052 /99/15","https://www.pharmnet-dz.com/notice.ashx?id=3787","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3787.png"
1197,"DECAPEPTYL LP 3,75MG 3,75MG PDRE. ET SOLV. P. SUSP.INJ. IM FORME LP SUR 28JOURS B/01FL. DE PDRE. + 01 AMP. DE SOLV. (MANNITOL) DE 2ML + 02 AIGUILLES + 01 SERINGUE","IPSEN PHARMA","ENDOCRINOLOGIE ET HORMONES","HORMONES HYPOTHALAMIQUES & HYPOPHYSAIRES","TRIPTORELINE ACETATE EXPRIME EN TRIPTORELINE","DECAPEPTYL LP 3,75MG","09J053","PDRE. SOL. INJ.","3,75MG","B/01FL. DE PDRE. + 01 AMP. DE SOLV. (MANNITOL) DE 2ML + 02 AIGUILLES + 01 SERINGUE","Princeps","Liste I","BELGIQUE",True,False,"0","","020/ 09 J 053 /97/15","https://www.pharmnet-dz.com/notice.ashx?id=3788","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1198,"DEDROGYL 5µG/GTTE. SOL. BUV GTTES FL./10ML","DESMA PHARMA","METABOLISME NUTRITION DIABETE","VITAMINES","CALCIFEDIOL","DEDROGYL","14H092","SOL. BUV. GTTES.","5µG/GTTE.","FL./10ML","Princeps","Liste II","FRANCE",True,True,"0","","351/ 14 H 092 /97","https://www.pharmnet-dz.com/notice.ashx?id=3420","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3420.png"
1199,"DEFEROX 125MG COMP. DISPERS. B/30","HIKMA PHARMACEUTICALS","TOXICOLOGIE","CHELATEURS","DEFERASIROX","DEFEROX","24D017","COMP.","125MG","B/30","Générique","Liste I","ALGERIE",True,False,NULL,"","001/ 24 D 017 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1200,"DEFEROX 250MG COMP. DISPERS. B/30","HIKMA PHARMACEUTICALS","TOXICOLOGIE","CHELATEURS","DEFERASIROX","DEFEROX","24D018","COMP. DISPERS.","250MG","B/30","Générique","Liste I","ALGERIE",True,False,NULL,"","001/ 24 D 018 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1201,"DEFEROX 500MG COMP. DISPERS. B/30","HIKMA PHARMACEUTICALS","TOXICOLOGIE","CHELATEURS","DEFERASIROX","DEFEROX","24D019","COMP. DISPERS.","500MG","B/30","Générique","Liste I","ALGERIE",True,False,NULL,"","001/ 24 D 019 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1202,"DEFLAMAC 0.01 GEL DERM. T/50G","NEOMEDIC","RHUMATOLOGIE","ANALGESIQUES ANTIRHUMATISMAUX EXTERNES BAUMES REVULSIFS","DICLOFENAC","DEFLAMAC","21A004","GEL DERM.","0.01","T/50G","Générique","Liste II","ALGERIE",True,True,"145","","418/ 21 A 004 /14","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1370.png"
1203,"DEFLAMBETA 0,5MG COMP. B/30","LIFEPHARMA","ENDOCRINOLOGIE ET HORMONES","GLUCOCORTICOIDES","BETAMETHASONE","DEFLAMBETA","09H019","COMP.","0,5MG","B/30","Générique","Liste I","ITALIE",True,True,"0","","010/ 09 H 019 /98","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1204,"DEKTAGEL 0,02 GEL BUCCAL T/40G","NEOMEDIC","STOMATOLOGIE","ANTIFONGIQUES LOCAUX","MICONAZOLE","DEKTAGEL","23D037","GEL","0,02","T/40G","Générique","Liste I","ALGERIE",True,True,"314.5","","418/23D037/18","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/5923.png"
1205,"DELAKET 30MG COMP. B/28","CHIESI S.A.","CARDIOLOGIE ET ANGEIOLOGIE","ANTI-HYPERTENSEURS","DELAPRIL","DELAKET","06E268","COMP.","30MG","B/28","Princeps","N/D","ITALIE",True,False,NULL,"","092/ 06 E 268 /08","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1206,"DEMENTILE 10MG COMP. PELLI. B/30","TABUK","NEUROLOGIE","MALADIE D'ALZHEIMER","DONEPEZIL CHLORHYDRATE","DEMENTILE","15F075","COMP. PELLI.","10MG","B/30","Générique","Liste I","ALGERIE",True,True,"4350","","173/15F075/16","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/4469.png"
1207,"DEMENTILE 5MG COMP. PELLI. B/30","TABUK","NEUROLOGIE","MALADIE D'ALZHEIMER","DONEPEZIL CHLORHYDRATE","DEMENTILE","15F074","COMP. PELLI.","5MG","B/30","Générique","Liste I","ALGERIE",True,True,"4050","","173/ 15 F 074 /18","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1208,"DENACINE 1% (10MG/ML) SOL. P. APPL. LOCALE FL./30ML","BEIT JALA PHARMACEUTICALS Co","DERMATOLOGIE","ANTI-ACNEIQUES, ANTI-ALOPECIQUES ET ANTI-SEBORRHEIQUES","CLINDAMYCINE","DENACINE","07B147","SOL. APP. LOCALE","1% (10MG/ML)","FL./30ML","Générique","Liste I","PALESTINE",True,True,"476.74","","406/ 07 B 147 /08","https://www.pharmnet-dz.com/notice.ashx?id=1667","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1667.png"
1209,"DENACINE EMULGEL 0.01 GEL DERM. T/30G","BEIT JALA PHARMACEUTICALS Co","DERMATOLOGIE","ANTI-ACNEIQUES, ANTI-ALOPECIQUES ET ANTI-SEBORRHEIQUES","CLINDAMYCINE PHOSPHATE EXPRIME EN CLINDAMYCINE","DENACINE EMULGEL","07B159","GEL. DERM.","0.01","T/30G","Générique","Liste I","PALESTINE",True,True,"309.24","","406/ 07 B 159 /09","https://www.pharmnet-dz.com/notice.ashx?id=1670","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1670.png"
1210,"DENORAL ADULTES 0,006G/0,0225G/0,090G/100ML SIROP. F/125ML","SAIDAL GROUPE","PNEUMOLOGIE","ANTITUSSIFS NON OPIACES","BUZEPIDE/CLOCINIZINE/PHOLCODINE","DENORAL ADULTES","20C033","SIROP","0,006G/0,0225G/0,090G/100ML","F/125ML","Générique","Liste I","ALGERIE",True,False,"0","","003/ 20 C 033 /05","https://www.pharmnet-dz.com/notice.ashx?id=2163","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2163.png"
1211,"DENORAL ENFANTS 0,004G/0,015G/0,040G/100ML SIROP. F/125ML","SAIDAL GROUPE","PNEUMOLOGIE","ANTITUSSIFS NON OPIACES","BUZEPIDE/CLOCINIZINE/PHOLCODINE","DENORAL ENFANTS","20C032","SIROP","0,004G/0,015G/0,040G/100ML","F/125ML","Générique","Liste I","ALGERIE",True,False,"0","","003/ 20 C 032 /05","https://www.pharmnet-dz.com/notice.ashx?id=2162","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2162.png"
1212,"DEPADIUM 10MG COMP. PELLI. B/30","EL K","CARDIOLOGIE ET ANGEIOLOGIE","ANTI-HYPERTENSEURS","LERCANIDIPINE","DEPADIUM","06E168","COMP. PELLI.","10MG","B/30","Générique","Liste I","ALGERIE",True,True,"0","","352/ 06 E 168 /14","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3100.png"
1213,"DEPAKINE 200MG COMP. GASTRORESIST. B/40","SANOFI AVENTIS","NEUROLOGIE","ANTI-EPILEPTIQUES & ANTI-CONVULSIVANTS","VALPROATE DE SODIUM","DEPAKINE","15A001","COMP.","200MG","B/40","Princeps","Liste II","FRANCE",True,True,"324","","255/ 15 A 001 /97","https://www.pharmnet-dz.com/notice.ashx?id=3485","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3485.png"
1214,"DEPAKINE 200MG/ML SOL.BUV. B/1FL DE 40ML + SERING. P. ADMINIST. ORALE GRADUEE EN MG","SANOFI AVENTIS","NEUROLOGIE","ANTI-EPILEPTIQUES & ANTI-CONVULSIVANTS","VALPROATE DE SODIUM","DEPAKINE","15A003","SOL. BUV.","200MG/ML","B/1FL DE 40ML + SERING. P. ADMINIST. ORALE GRADUEE EN MG","Princeps","Liste II","ALGERIE",True,True,"0","","392/ 15 A 003 /98/13","https://www.pharmnet-dz.com/notice.ashx?id=3492","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3492.png"
1215,"DEPAKINE 500MG COMP GASTR RESIST. B/40","SANOFI SYNTHELABO","NEUROLOGIE","ANTI-EPILEPTIQUES & ANTI-CONVULSIVANTS","VALPROATE DE SODIUM","DEPAKINE","15A002","COMP.","500MG","B/40","Princeps","Liste II","FRANCE",True,True,"889","","255/ 15 A 002 /97","https://www.pharmnet-dz.com/notice.ashx?id=3488","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3488.png"
1216,"DEPAKINE CHRONO 500MG COMP.PELLI. SEC. LP B/30","SANOFI SYNTHELABO","NEUROLOGIE","ANTI-EPILEPTIQUES & ANTI-CONVULSIVANTS","VALPROATE DE SODIUM","DEPAKINE CHRONO","15A043","COMP. SEC.","500MG","B/30","Princeps","Liste II","FRANCE",True,True,"1004","","255/ 15 A 043 /99","https://www.pharmnet-dz.com/notice.ashx?id=2400","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2400.png"
1217,"DEPO-MEDROL 40MG/ML SUSP.INJ. B/1SERING. PREREMPL. DE 2ML","PHARMACIA UPJOHN","ENDOCRINOLOGIE ET HORMONES","GLUCOCORTICOIDES","METHYLPREDNISOLONE ACETATE","DEPO-MEDROL","09H090","SUSP. INJ.","40MG/ML","B/1SERING. PREREMPL. DE 2ML","Princeps","Liste I","FRANCE",True,True,"0","","076/ 09 H 090 /99","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1218,"DEPONIT NT 10MG/24H PATCH B/10","SCHWARZ PHARMA","CARDIOLOGIE ET ANGEIOLOGIE","ANTI-ANGOREUX","TRINITRINE","DEPONIT NT","06C038","PATCH","10MG/24H","B/10","Générique","Liste II","ALLEMAGNE",True,True,"0","","273/ 06 C 038 /03","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1219,"DEPONIT NT 5MG/24H PATCH B/10","SCHWARZ PHARMA","CARDIOLOGIE ET ANGEIOLOGIE","ANTI-ANGOREUX","TRINITRINE","DEPONIT NT","06C200","PATCH","5MG/24H","B/10","Générique","Liste II","ALLEMAGNE",True,True,"0","","273/ 06 C 200 /03","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1220,"DEPRESS 20MG COMP. B/30","BIOVITAL","PSYCHIATRIE","ANTIDEPRESSEURS","ESCITALOPRAM OXALATE EXPRIME EN ESCITALOPRAM","DEPRESS","16A130","COMP. PELLI.","20MG","B/30","Générique","Liste I","ALGERIE",True,False,"208","","321/ 16 A 130 /09","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1221,"DEPRESTAT LP 25MG MICRGLES. LP EN GLES. B/60","NEOMEDIC","PSYCHIATRIE","ANTIDEPRESSEURS","AMITRIPTYLINE CHLORHYDRATE","DEPRESTAT LP","16A158","MICROGRANULES LP. GLES.","25MG","B/60","Générique","Liste I","ALGERIE",True,True,"255.67","","418/ 16 A 158 /13","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2588.png"
1222,"DEPRETINE 10MG** COMP. ENRO. B/30","EL K","PSYCHIATRIE","ANTIDEPRESSEURS","PAROXETINE** (SOUS FORME DE CHLORHYDRATE HEMIHYDRATE)","DEPRETINE","16A154","COMP. PELLI.","10MG**","B/30","Générique","Liste I","ALGERIE",True,True,"887.4","","352/ 16 A 154 /12","https://www.pharmnet-dz.com/notice.ashx?id=2587","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2587.png"
1223,"DEPRETINE 20MG COMP. ENRO. B/30","EL K","PSYCHIATRIE","ANTIDEPRESSEURS","PAROXETINE CHLORHYDRATE EXPRIME EN PAROXETINE","DEPRETINE","16A095","COMP. PELLI.","20MG","B/30","Générique","Liste I","ALGERIE",True,True,"1741.2","","352/ 16 A 095 /10","https://www.pharmnet-dz.com/notice.ashx?id=2554","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2554.png"
1224,"DEPRISOLE 20MG COMP ORODISPERSIBLE B/20","BIO-GALENIC","ENDOCRINOLOGIE ET HORMONES","GLUCOCORTICOIDES","PREDNISOLONE","DEPRISOLE","09H144","COMP. ORODISPERS.","20MG","B/20","Générique","Liste I","ALGERIE",True,True,"392","","235/ 09 H 144 /14","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3772.png"
1225,"DEPRISOLE 5MG COMP. ORODISPERS. B/30","BIO-GALENIC","ENDOCRINOLOGIE ET HORMONES","GLUCOCORTICOIDES","PREDNISOLONE","DEPRISOLE","09H143","COMP. ORODISPERS.","5MG","B/30","Générique","Liste I","ALGERIE",True,True,"257.4","","235/ 09 H 143 /12","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3768.png"
1226,"DERMADINE 0.1 SOL. P. APPL. LOCALE FL/50ML","LABIOCO","DERMATOLOGIE","ANTISEPTIQUES","POLYVIDONE IODEE","DERMADINE","07P077","SOL. DERM.","0.1","FL/50ML","Générique","N/D","ALGERIE",True,False,NULL,"","464/ 07 P 077 /10","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1227,"DERMAFINE 0.01 CREME DERM. B/01 TUBE DE 15G","LGPA","DERMATOLOGIE","ANTIFONGIQUES LOCAUX","TERBINAFINE CHLORHYDRATE","DERMAFINE","07D094","CRÈME","0.01","B/01 TUBE DE 15G","Générique","Liste II","ALGERIE",True,True,"210","","311/ 07 D 094 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/461.png"
1228,"DERMASONE 0.0005 LOTION DERM. FL./15G","BIO-GALENIC","DERMATOLOGIE","DERMOCORTICOIDES","BETAMETHASONE","DERMASONE","07H040","LOTION","0.0005","FL./15G","Générique","Liste I","ALGERIE",True,True,"0","","235/ 07 H 040 /13/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/499.png"
1229,"DERMA-T 0.01 SOL. APPLI. LOCALE FL/30ML","TABUK","DERMATOLOGIE","ANTI-ACNEIQUES, ANTI-ALOPECIQUES ET ANTI-SEBORRHEIQUES","CLINDAMYCINE","DERMA-T","07B147","SOL. APP. LOCALE","0.01","FL/30ML","Générique","Liste I","ARABIE SAOUDITE",True,True,"681.62","","173/ 07 B 147 /06","https://www.pharmnet-dz.com/notice.ashx?id=1668","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1668.png"
1230,"DERMESTRIL 25µG/24H PATCH B/8","SANOFI WINTHROP","ENDOCRINOLOGIE ET HORMONES","OESTROGENES","ESTRADIOL","DERMESTRIL","09G010","PATCH","25µG/24H","B/8","Princeps","Liste II","FRANCE",True,True,"0","","052/ 09 G 010 /98","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1231,"DERMOBACTER 0,2G/0,5G/100ML SOL. P. APPL. CUTANEE FL./300ML","INNOTECH INTERNATIONAL","DERMATOLOGIE","ANTISEPTIQUES","CHLORHEXIDINE DIGLUCONATE/ BENZALKONIUM CHLORURE","DERMOBACTER","07P153","SOL. APP. LOCALE","0,2G/0,5G/100ML","FL./300ML","Princeps","N/D","FRANCE",True,True,"345","","087/ 07 P 153 /07","https://www.pharmnet-dz.com/notice.ashx?id=562","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/562.png"
1232,"DERMOCONAZOLE® 2% Crème Tube de 20g","NOVAPHARM TRADING","DERMATOLOGIE","ANTIFONGIQUES LOCAUX","SERTACONAZOLE NITRATE","DERMOCONAZOLE®","07D108","CRÈME","2%","Tube de 20g","Générique","Liste I","ALGERIE",True,True,NULL,"","","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/6301.png"
1233,"DERMOCUIVRE 0,2% / 10% PDE DERM T/25 G ET T/100G","CHAUVIN","DERMATOLOGIE","ANTISEPTIQUES","SULFATE DE CUIVRE / OXYDE DE ZINC","DERMOCUIVRE","07P101","PDE. DERM.","0,2% / 10%","T/25 G ET T/100G","Princeps","N/D","FRANCE",True,True,"0","","096/ 07 P 101 /00","https://www.pharmnet-dz.com/notice.ashx?id=558","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/558.png"
1234,"DERMOFIX 0.02 CREME T/20G","FERRER INTERNATIONAL","DERMATOLOGIE","ANTIFONGIQUES LOCAUX","SERTACONAZOLE NITRATE","DERMOFIX","07D108","CRÈME","0.02","T/20G","Princeps","N/D","ESPAGNE",True,True,"254.04","","207/ 07 D 108 /00","https://www.pharmnet-dz.com/notice.ashx?id=466","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/466.png"
1235,"DERMOFIX 0.02 GEL T/100G","FERRER INTERNATIONAL","DERMATOLOGIE","ANTIFONGIQUES LOCAUX","SERTACONAZOLE NITRATE","DERMOFIX","07D139","GEL","0.02","T/100G","Princeps","N/D","ESPAGNE",True,True,"458","","207/ 07 D 139 /03","https://www.pharmnet-dz.com/notice.ashx?id=470","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/470.png"
1236,"DERMOFIX 0.02 SOLUTION DERMIQUE EN SPRAY F/30ML","FERRER INTERNATIONAL","DERMATOLOGIE","ANTIFONGIQUES LOCAUX","SERTACONAZOLE NITRATE","DERMOFIX","07D181","SOL. DERM.","2%","F/30ML","Princeps","Liste I","ESPAGNE",True,True,"458","","207/07D181/15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1237,"DERMOX 2% CREME DERMIQUE","NEOMEDIC","DERMATOLOGIE","ANTIFONGIQUES LOCAUX","SERTACONAZOLE NITRATE","DERMOX","07D108","CRÈME","2%","TUBE DE 20 g","Générique","N/D","ALGERIE",True,True,"228.93","","","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1238,"DEROXAT 20MG COMP. PELLI. SEC. B/14","GLAXO SMITHKLINE","PSYCHIATRIE","ANTIDEPRESSEURS","PAROXETINE CHLORHYDRATE EXPRIME EN PAROXETINE","DEROXAT","16A095","COMP. PELLI.","20MG","B/14","Princeps","Liste I","ALGERIE",True,True,"766","","305/ 16 A 095 /00/10","https://www.pharmnet-dz.com/notice.ashx?id=2555","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2555.png"
1239,"DESACROVIS 0,050G/100G (OU 0,05%) PDE. DERM. T/30G","CROVIS PHILCOM","DERMATOLOGIE","DERMOCORTICOIDES","DEXAMETHASONE","DESACROVIS","07H043","PDE. DERM.","0,050G/100G (OU 0,05%)","T/30G","Générique","Liste I","ITALIE",True,False,NULL,"","012/ 07 H 043 /98/14","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1240,"DESACROVIS 0,5MG COMP. B/30","CROVIS PHILCOM","ENDOCRINOLOGIE ET HORMONES","GLUCOCORTICOIDES","DEXAMETHASONE","DESACROVIS","09H023","COMP.","0,5MG","B/30","Générique","Liste I","ITALIE",True,False,"159","","012/ 09 H 023 /98/14","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1241,"DESFERAL 500MG/7,5ML PDRE. ET SOLV. P. SOL. INJ. B/1+1","NOVARTIS","TOXICOLOGIE","CHELATEURS","DEFEROXAMINE","DESFERAL","24D004","SOL. INJ.","500MG/7,5ML","B/1+1","Princeps","Liste I","FRANCE",True,True,"0","","068/ 24 D 004 /98","https://www.pharmnet-dz.com/notice.ashx?id=1145","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1145.png"
1242,"DESIRETT 0,075MG COMP. PELL B/28","EXELTIS GERMANY GMBH","GYNECOLOGIE","CONTRACEPTIFS HORMONAUX","DESOGESTREL","DESIRETT","11H072","COMP. PELLI.","0,075 MG","B/28","Générique","Liste I","ALLEMAGNE",True,True,"120","","532/11H072/17","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1243,"DESLOR 0,5MG/ML SIROP B/1FL. DE 150ML + UNE SERING. MESURE GRADUEE","INPHA-MédiS","ALLERGOLOGIE","ANTIHISTAMINIQUES","DESLORATADINE","DESLOR","01A048","SIROP","0,5MG/ML","B/1FL. DE 150ML + UNE SERING. MESURE GRADUEE","Générique","Liste II","ALGERIE",True,True,"463.5","","317/ 01 A 048 /11","https://www.pharmnet-dz.com/notice.ashx?id=4031","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/4031.png"
1244,"DESLOR 5MG COMP. PELLI. B/15 ET B/30","INPHA-MédiS","ALLERGOLOGIE","ANTIHISTAMINIQUES","DESLORATADINE","DESLOR","01A047","COMP. PELLI.","5MG","B/15 ET B/30","Générique","Liste II","ALGERIE",True,False,"90","","317/ 01 A 047 /11","https://www.pharmnet-dz.com/notice.ashx?id=4029","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/4029.png"
1245,"DESLORAL 5MG COMP. PELLI. B/15","PHARMIDAL","ALLERGOLOGIE","ANTIHISTAMINIQUES","DESLORATADINE","DESLORAL","01A047","COMP. PELLI.","5MG","B/15","Générique","Liste II","ALGERIE",True,True,"90","","","https://www.pharmnet-dz.com/notice.ashx?id=5723","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/5723.png"
1246,"DESLORAL 5MG COMP. PELLI. B/30","PHARMIDAL","ALLERGOLOGIE","ANTIHISTAMINIQUES","DESLORATADINE","DESLORAL","01A047","COMP. PELLI.","5MG","B/30","Générique","Liste II","ALGERIE",True,True,"180","","","https://www.pharmnet-dz.com/notice.ashx?id=5724","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/5724.png"
1247,"DESOMEDINE 0,1% COLLY. FL/10ML","CHAUVIN","OPHTALMOLOGIE","ANTISEPTIQUES LOCAUX","HEXAMIDINE (SOUS FORME DE DI-ISETHIONATE)**","DESOMEDINE","17E158","COLLY.","0,1%","FL/10ML","Princeps","N/D","FRANCE",True,False,"0","","096/ 17 E 158 /08","https://www.pharmnet-dz.com/notice.ashx?id=1967","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1967.png"
1248,"DESPAVINE 100MG COMP. PELLI. B/30","BIO-GALENIC","MEBEVERINE CHLORHYDRATE","GASTRO-ENTEROLOGIE","","DESPAVINE","10E035","COMP. PELLI.","100MG","B/30","Générique","Liste II","ALGERIE",True,True,"217.2","","235/ 10 E 035 /09","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/3951.png"
1249,"DETENPRESS 10MG COMP. PELLI. SEC. B/30","REMEDE PHARMA","CARDIOLOGIE ET ANGEIOLOGIE","BETA-BLOQUANTS","BISOPROLOL FUMARATE","DETENPRESS","06F162","COMP. PELLI.","10MG","B/30","Générique","Liste I","ALGERIE",True,True,"585","","426/ 06 F 162 /13","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
1250,"DETICENE 100MG PDRE.SOL.INJ. B/10FL.","SANOFI AVENTIS","CANCEROLOGIE","CYTOSTATIQUES","DACARBAZINE","DETICENE","05A013","PDRE. SOL. INJ.","100MG","B/10FL.","Princeps","Liste I","FRANCE",True,True,"0","","230/ 05 A 013 /99","https://www.pharmnet-dz.com/notice.ashx?id=973","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/973.png"
1251,"DEXAFLOX 1MG/3MG/ML COLLY. EN SUSP. FL/5ML","JAMJOOM PHARMACEUTICAL INDUSTRY","OPHTALMOLOGIE","CORTICOIDES LOCAUX","DEXAMETHASONE / OFLOXACINE","DEXAFLOX","17G168","COLLY.","1MG/3MG/ML","FL/5ML","Générique","Liste I","ARABIE SAOUDITE",True,False,"0","","386/ 17 G 168 /12","https://www.pharmnet-dz.com/notice.ashx?id=1984","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/1984.png"
